variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_2,0.031076549491096186,0.011310344913125832,0.008817977035741859,0.053335121946450514,0.006369929706959414,1084,298,12,ysn,FeIII_30_F,0.6,DEV
gn_3,0.03464739293697475,0.015292559712419796,0.004551887362100545,0.06474289851184895,0.02419345965132189,1084,298,12,ysn,FeIII_30_F,0.6,DEV
gn_0,0.1112760697843914,0.0323711611973532,0.04656704057758623,0.17598509899119658,0.001054053003428053,242,63,12,ysn,FeIII_30_F,0.6,LB
gn_1,0.03775726488093217,0.01662887907441732,0.004516609250979575,0.07099792051088477,0.026657218566328866,242,63,12,ysn,FeIII_30_F,0.6,LB
gn_2,0.03482856052137652,0.01748084999921756,-0.00011516072059234578,0.06977228176334538,0.050736575967327384,242,63,12,ysn,FeIII_30_F,0.6,LB
gn_3,0.055603207048450155,0.022138262944682973,0.011349449985433399,0.09985696411146691,0.014636111508685521,242,63,12,ysn,FeIII_30_F,0.6,LB
gn_0,0.0443711864062418,0.018320764024051354,0.008316224634603464,0.08042614817788013,0.016037949678693608,1084,298,12,ysn,SnII_FeIII30F,0.3,DEV
gn_1,0.01646381367670913,0.011026471788614553,-0.005236101146309929,0.03816372849972819,0.13646806978292098,1084,298,12,ysn,SnII_FeIII30F,0.3,DEV
gn_2,0.031646963343430715,0.011356077696798294,0.009298389523239387,0.05399553716362204,0.005666199861338,1084,298,12,ysn,SnII_FeIII30F,0.3,DEV
gn_3,0.03529900357192488,0.015322801023935295,0.0051439835942024,0.06545402354964736,0.021930360019896386,1084,298,12,ysn,SnII_FeIII30F,0.3,DEV
